Epoch,Loss,R2,L2,Time
1,0.6546134480681175,0.6702348402677438,0.5288374261596264,14620.807918071747
2,0.1149959453405478,0.9426526205661969,0.23712416489919028,13047.171252250671
3,0.055173146610076614,0.9718857388465832,0.16922986755768457,13089.342913389206
4,0.03565125740491427,0.9816055817481799,0.13714515245877779,13853.483449697495
5,0.02689245691857277,0.9859673354106072,0.11972883085791881,13313.47156405449
6,0.01932067979270449,0.9899053478088135,0.10193599985005,13177.446932554245
7,0.01688008392468477,0.9911040721031336,0.09531303256368026,15831.173174142838
8,0.013345114576319853,0.9929615889604275,0.08506227962863751,13455.070556163788
9,0.011297725964910708,0.9940367749868295,0.07855012869605651,13487.139401197433
10,0.01049264103699571,0.9944269225383416,0.07558303417112583,14025.883120536804
